heCode,frontendNameBefore,frontendNameAfter,backendSource,backendCode,backendTitle,derivedFrom,imageUrl,imageExists,originalImageUrl,originalImageExists,missingFields,status
HE-N-L-M01,荷塘双鹤汉绣,荷塘双鹤汉绣,parsed-doc,HE-N-L-M01,荷塘双鹤汉绣：,,/patterns-transparent/HE-N-L-M01.png,true,/patterns/HE-N-L-M01.jpg,true,,OK
HE-N-S-B04,蓝底金凤牡丹展陈汉绣,蓝底金凤牡丹展陈汉绣,parsed-doc,HE-N-S-B04,蓝底金凤牡丹展陈汉绣：,,/patterns-transparent/HE-N-S-B04.png,true,/patterns/HE-N-S-B04.jpg,true,,OK
HE-N-B-M13,蓝白牡丹对称黑底绣片,蓝白牡丹对称黑底绣片,word,HE-N-B-M13,蓝白牡丹对幅绣,,/patterns-transparent/HE-N-B-M13.png,true,/patterns/HE-N-B-M13.jpg,true,,REVIEW_SOURCE_OR_COPYRIGHT
HE-N-B-B06,蓝调青花百花蝴蝶长款竖幅汉绣,蓝调青花百花蝴蝶长款竖幅汉绣,extra-word,HE-N-B-B06,蓝调百花蝴蝶竖幅汉绣,,/patterns-transparent/HE-N-B-B06.png,true,/patterns/HE-N-B-B06.jpg,true,,OK
HE-H-B-R03,红底蝶仙游鱼神话装饰汉绣,红底蝶仙游鱼神话装饰汉绣,extra-word,HE-H-B-R03,蝶仙游鱼红底汉绣,,/patterns-transparent/HE-H-B-R03.png,true,/patterns/HE-H-B-R03.png,true,,OK
HE-N-B-M09,浅白底蝶恋花牡丹圆形绣片,浅白底蝶恋花牡丹圆形绣片,derived-word,HE-N-B-M03,蝶恋花牡丹圆绣汉绣,HE-N-B-M03,/patterns-transparent/HE-N-B-M09.png,true,/patterns/HE-N-B-M09.png,true,,REVIEW_SOURCE_OR_COPYRIGHT
HE-H-S-R01,红底西十七座降龙尊者人物汉绣,红底西十七座降龙尊者人物汉绣,extra-word,HE-H-S-R01,西十七座降龙尊者汉绣,,/patterns-transparent/HE-H-S-R01.png,true,/patterns/HE-H-S-R01.png,true,,OK
HE-H-S-A03,金线黄鹤楼云鹤圆形装饰绣片,金线黄鹤楼云鹤圆形装饰绣片,extra-word,HE-H-S-A03,金线黄鹤楼云鹤圆绣汉绣,,/patterns-transparent/HE-H-S-A03.png,true,/patterns/HE-H-S-A03.png,true,,OK
HE-N-B-R06,银杏双喜鹊粉底黑檀圆台屏,银杏双喜鹊粉底黑檀圆台屏,word,HE-N-B-R06,银杏双喜鹊粉底圆台屏,,/patterns-transparent/HE-N-B-R06.png,true,/patterns/HE-N-B-R06.png,true,,OK
HE-N-B-M08,银杏三锦鲤圆片绣 2.,银杏三锦鲤圆片绣,parsed-doc,HE-N-B-M08,编码拆解,,/patterns-transparent/HE-N-B-M08.png,true,/patterns/HE-N-B-M08.png,true,,REVIEW_SOURCE_OR_COPYRIGHT
HE-N-B-R05,锦鸡牡丹红底汉剧服饰绣片,锦鸡牡丹红底汉剧服饰绣片,word,HE-N-B-R05,锦鸡牡丹红底汉剧戏服绣片,,/patterns-transparent/HE-N-B-R05.png,true,/patterns/HE-N-B-R05.jpg,true,,OK
HE-N-B-M15,楚式对称凤鹿复古白地汉绣,楚式对称凤鹿复古白地汉绣,word,HE-N-B-M15,青绿底对称瓜蝶长条竖幅绣片,,/patterns-transparent/HE-N-B-M15.png,true,/patterns/HE-N-B-M15.jpg,true,,OK
HE-N-B-B02,青蓝蝶恋花绣球汉绣,青蓝蝶恋花绣球汉绣,word,HE-N-B-B02,青蓝蝶恋花绣球汉绣,,/patterns-transparent/HE-N-B-B02.png,true,/patterns/HE-N-B-B02.png,true,,OK
HE-H-L-M11,仿古青铜花觚对幅汉绣,仿古青铜花觚对幅汉绣,parsed-doc,HE-H-L-M11,青铜花觚对幅汉绣：,,/patterns-transparent/HE-H-L-M11.png,true,/patterns/HE-H-L-M11.png,true,,OK
HE-N-B-M04,浅白底鸳鸯荷花繁花方形绣片,浅白底鸳鸯荷花繁花方形绣片,extra-word,HE-N-B-M04,鸳鸯荷花繁花汉绣,,/patterns-transparent/HE-N-B-M04.png,true,/patterns/HE-N-B-M04.png,true,,OK
HE-H-B-M01,麒麟送子圆补汉绣,麒麟送子圆补汉绣,word,HE-H-B-M01,麒麟送子圆补汉绣,,/patterns-transparent/HE-H-B-M01.png,true,/patterns/HE-H-B-M01.png,true,,OK
HE-H-B-R02,红底麻姑献寿人物祝寿汉绣,红底麻姑献寿人物祝寿汉绣,extra-word,HE-H-B-R02,麻姑献寿寿星红底汉绣,,/patterns-transparent/HE-H-B-R02.png,true,/patterns/HE-H-B-R02.png,true,,OK
HE-H-S-B15,黑底满铺楚凤云水横向大型壁挂汉绣,黑底满铺楚凤云水横向大型壁挂汉绣,extra-word,HE-H-S-B15,黑底满铺楚凤云水大幅壁挂汉绣,,/patterns-transparent/HE-H-S-B15.png,true,/patterns/HE-H-S-B15.jpg,true,,OK
HE-H-L-A14,黑底盘金楚白虎圆形工艺展示绣片,黑底盘金楚白虎圆形工艺展示绣片,extra-word,HE-H-L-A14,黑底盘金楚白虎圆绣片,,/patterns-transparent/HE-H-L-A14.png,true,/patterns/HE-H-L-A14.jpg,true,,OK
HE-H-B-A12,黑底金线正龙海水江崖绣片,黑底金线正龙海水江崖绣片,word,HE-H-B-A12,黑底金线团龙汉绣,,/patterns-transparent/HE-H-B-A12.png,true,/patterns/HE-H-B-A12.png,true,,REVIEW_SOURCE_OR_COPYRIGHT
HE-N-B-R08,红底龙凤呈祥戏珠大幅绣片,红底龙凤呈祥戏珠大幅绣片,derived-word,HE-N-B-R04,龙凤呈祥戏珠红底汉绣,HE-N-B-R04,/patterns-transparent/HE-N-B-R08.png,true,/patterns/HE-N-B-R08.png,true,,REVIEW_SOURCE_OR_COPYRIGHT
